group;type;answer;description;hints;params
組成(藥→方);select_all;[黃芩,黃連,連翹,薄荷,牛蒡子,板藍根,柴胡,升麻,僵蠶,馬勃,玄參,桔梗,陳皮,甘草];{name}的組成是？;[清熱解毒,上焦風熱];{"name":"普濟消毒飲"}
組成(藥→方);select_all;[龍膽草,梔子,黃芩,車前子,木通,澤瀉,柴胡,當歸,生地,甘草];{name}的組成是？;[清熱解毒,肝經濕熱];{"name":"龍膽瀉肝湯"}
組成(藥→方);select_all;[銀花,菊花,蒲公英,紫花地丁,天葵];{name}的組成是？;[清熱解毒,癰瘡熱毒];{"name":"五味消毒飲"}
組成(藥→方);select_all;[銀花,防風,天花粉,白芷,陳皮,貝母,皂角刺,穿山甲,乳香,沒藥,當歸,赤芍,生甘草];{name}的組成是？;[清熱解毒,癰腫];{"name":"仙方活命飲"}
組成(藥→方);select_all;[生地,木通,生甘草,竹葉水];{name}的組成是？;[清熱臟腑熱,清心利水];{"name":"導赤散"}
組成(藥→方);select_all;[黃連,吳茱萸];{name}的組成是？;[清熱臟腑熱,肝鬱熱];{"name":"左金丸"}
組成(藥→方);select_all;[龍膽草,梔子,大黃,羌活,防風,川芎,當歸,竹葉,蜂蜜];{name}的組成是？;[清熱臟腑熱,肝熱生風];{"name":"瀉青丸"}
組成(藥→方);select_all;[當歸,龍膽草,蘆薈,青黛,大黃,黃芩,黃連,黃柏,梔子,麝香,木香];{name}的組成是？;[清熱臟腑熱,肝熱生風重證];{"name":"當歸龍薈丸"}
組成(藥→方);select_all;[桑白皮,地骨皮,炙甘草,梗米];{name}的組成是？;[清熱臟腑熱,肺鬱熱];{"name":"瀉白散"}
組成(藥→方);select_all;[葦莖,薏仁,冬瓜仁,桃仁];{name}的組成是？;[清熱臟腑熱,肺癰痰膿];{"name":"葦莖湯"}
組成(藥→方);select_all;[升麻,黃連,當歸,生地,丹皮];{name}的組成是？;[清熱臟腑熱,胃熱];{"name":"清胃散"}
組成(藥→方);select_all;[石膏,梔子,藿香,防風,甘草];{name}的組成是？;[清熱臟腑熱,脾胃火];{"name":"瀉黃散"}
組成(藥→方);select_all;[石膏,知母,麥冬,熟地,牛膝];{name}的組成是？;[清熱臟腑熱,胃熱傷陰(腎)];{"name":"玉女煎"}
組成(藥→方);select_all;[白頭翁,黃連,黃柏,秦皮];{name}的組成是？;[清熱臟腑熱,腸癰裡急膿血];{"name":"白頭翁湯"}
組成(藥→方);select_all;[青蒿,鱉甲,知母,生地,丹皮];{name}的組成是？;[清熱虛熱,虛熱津傷];{"name":"青蒿鱉甲湯"}
組成(藥→方);select_all;[秦艽,鱉甲,青蒿,地骨皮,知母,當歸,柴胡,烏梅];{name}的組成是？;[清熱虛熱,陰虛內熱];{"name":"秦艽鱉甲散"}
組成(藥→方);select_all;[秦艽,鱉甲,青蒿,地骨皮,知母,銀柴胡,胡黃連,甘草];{name}的組成是？;[清熱虛熱,肝腎陰虛骨蒸虛熱];{"name":"清骨散"}
組成(藥→方);select_all;[人參,白朮,乾薑,炙甘草];{name}的組成是？;[溫裡溫中,中焦虛寒];{"name":"理中丸"}
組成(藥→方);select_all;[吳茱萸,人參,生薑,大棗];{name}的組成是？;[溫裡溫中,虛寒氣逆];{"name":"吳茱萸湯"}
組成(藥→方);select_all;[人參,乾薑,蜀椒];{name}的組成是？;[溫裡溫中,陽虛寒盛];{"name":"大建中湯"}
組成(藥→方);select_all;[桂枝,白芍,炙甘草,生薑,大棗,飴糖];{name}的組成是？;[溫裡溫中,中氣虛寒不和];{"name":"小建中湯"}
組成(藥→方);select_all;[附子,乾薑,炙甘草];{name}的組成是？;[溫裡回陽,亡陽];{"name":"四逆湯"}
組成(藥→方);select_all;[人參,附子];{name}的組成是？;[溫裡回陽,亡陽脫證];{"name":"參附湯"}
組成(藥→方);select_all;[人參,附子,乾薑,肉桂,麝香,五味子,陳皮,半夏,茯苓,白朮,炙甘草];{name}的組成是？;[溫裡回陽,陽微寒盛];{"name":"回陽救急湯"}
組成(藥→方);select_all;[黑錫,硫磺,陽起石,附子,肉桂,葫蘆巴,補骨脂,川楝子,小茴香,沉香,木香,肉豆蔻];{name}的組成是？;[溫裡回陽,陽虛下虛氣逆];{"name":"黑錫丹"}
組成(藥→方);select_all;[當歸,桂枝,白芍,炙甘草,大棗,細辛,通草];{name}的組成是？;[溫裡溫經,血虛寒厥];{"name":"當歸四逆湯"}
組成(藥→方);select_all;[黃耆,桂枝,白芍,生薑,大棗];{name}的組成是？;[溫裡溫經,虛證風寒入血脈];{"name":"黃耆桂枝五物湯"}
組成(藥→方);select_all;[鹿角膠,肉桂,麻黃,熟地,生甘草,白芥子,薑炭];{name}的組成是？;[溫裡溫經,陽虛痰滯,陰疽];{"name":"陽和湯"}
組成(藥→方);select_all;[柴胡,黃芩,半夏,人參,炙甘草,生薑,大棗];{name}的組成是？;[和解少陽,少陽證寒熱口苦];{"name":"小柴胡湯"}
組成(藥→方);select_all;[黃芩,知母,厚朴,白芍,白果,檳榔];{name}的組成是？;[和解少陽,膜原濕熱];{"name":"達原飲"}
組成(藥→方);select_all;[白朮,白芍,陳皮,防風];{name}的組成是？;[和解肝脾,肝脾不和];{"name":"白朮芍藥散"}
組成(藥→方);select_all;[柴胡,薄荷,當歸,白芍,白朮,茯苓,炙甘草,炮薑];{name}的組成是？;[和解肝脾,肝鬱血虛];{"name":"逍遙散"}
組成(藥→方);select_all;[柴胡,枳實,白芍,炙甘草];{name}的組成是？;[和解肝脾,氣鬱肢寒];{"name":"四逆散"}
組成(藥→方);select_all;[枳實,白芍];{name}的組成是？;[和解肝脾,產後腹痛癰膿];{"name":"枳實芍藥散"}
組成(藥→方);select_all;[桔梗,甘草,生薑,大棗];{name}的組成是？;[和解肝脾,];{"name":"排膿湯"}
組成(藥→方);select_all;[青蒿,黃芩,青黛,滑石,竹茹,枳殼,陳皮,半夏,赤茯苓,甘草];{name}的組成是？;[和解膽胃,少陽證,痰濕熱];{"name":"蒿芩清膽湯"}
組成(藥→方);select_all;[黃連,黃芩,半夏,人參,炙甘草,乾薑,大棗];{name}的組成是？;[和解腸胃,心下痞逆];{"name":"半夏瀉心湯"}
組成(藥→方);select_all;[黃連,桂枝,半夏,人參,炙甘草,乾薑,大棗];{name}的組成是？;[和解腸胃,胸熱胃寒];{"name":"黃連湯"}
組成(藥→方);select_all;[牡蠣,浮小麥,麻黃根,黃耆];{name}的組成是？;[固澀固表,衛虛汗出];{"name":"牡蠣散"}
組成(藥→方);select_all;[當歸,生地,熟地,黃耆,黃芩,黃連,黃柏];{name}的組成是？;[固澀固表,衛虛陰虛火旺];{"name":"當歸六黃湯"}
組成(藥→方);select_all;[蒺藜,芡實,蓮鬚,龍骨,牡蠣,蓮肉];{name}的組成是？;[固澀固精,腎虛遺精];{"name":"金鎖固精丸"}
組成(藥→方);select_all;[芡實,金櫻子];{name}的組成是？;[固澀固精,];{"name":"水陸二仙丹"}
組成(藥→方);select_all;[桑螵蛸,龍骨,菖蒲,遠志,茯神,人參,當歸,龜板];{name}的組成是？;[固澀固精,心腎虛遺尿];{"name":"桑螵蛸散"}
組成(藥→方);select_all;[益智仁,烏藥,山藥];{name}的組成是？;[固澀固精,腎虛寒];{"name":"縮泉丸"}
組成(藥→方);select_all;[赤石脂,乾薑,梗米];{name}的組成是？;[固澀澀腸,陽虛寒泄膿血];{"name":"桃花湯"}
組成(藥→方);select_all;[赤石脂,禹餘糧];{name}的組成是？;[固澀澀腸,];{"name":"赤石脂禹餘糧湯"}
組成(藥→方);select_all;[訶子,粟米,乾薑,橘紅];{name}的組成是？;[固澀澀腸,虛寒痢];{"name":"訶子散"}
組成(藥→方);select_all;[補骨脂,吳茱萸,肉豆蔻,五味子];{name}的組成是？;[固澀澀腸,脾腎虛瀉];{"name":"四神丸"}
組成(藥→方);select_all;[罌粟殼,肉豆蔻,訶子,人參,白朮,當歸,白芍,炙甘草,肉桂,木香];{name}的組成是？;[固澀澀腸,久瀉虛寒];{"name":"真人養臟湯"}
組成(藥→方);select_all;[山藥,芡實,白果,黃柏,車前子];{name}的組成是？;[固澀止帶,濕熱帶下];{"name":"易黃湯"}
組成(藥→方);select_all;[人參(黨參),白朮,蒼朮,山藥,白芍,陳皮,炙甘草,柴胡,車前子,荊芥];{name}的組成是？;[固澀止帶,脾虛帶下];{"name":"完帶湯"}
組成(藥→方);select_all;[山藥,海螵蛸,龍骨,牡蠣,茜草];{name}的組成是？;[固澀止帶,滋陰收歛];{"name":"清帶湯"}
組成(藥→方);select_all;[生黃耆,白朮,白芍,山茱萸,龍骨,牡蠣,五倍子,棕櫚炭,茜草,海螵蛸];{name}的組成是？;[固澀止帶,脾虛崩漏];{"name":"固衝湯"}
組成(藥→方);select_all;[黃芩,黃柏,白芍,龜板,椿皮,香附];{name}的組成是？;[固澀止帶,陰虛火旺崩漏出血];{"name":"固經丸"}
組成(藥→方);select_all;[朱砂,黃連,炙甘草,生地,當歸];{name}的組成是？;[安神重鎮,心火旺陰虛];{"name":"朱砂安神丸"}
組成(藥→方);select_all;[磁石,朱砂,神麴];{name}的組成是？;[安神重鎮,心亢腎虛];{"name":"磁朱丸"}
組成(藥→方);select_all;[酸棗仁,知母,茯苓,川芎,生甘草];{name}的組成是？;[安神補養,心肝血虛,熱];{"name":"酸棗仁湯"}
組成(藥→方);select_all;[當歸,生地,天冬,麥冬,玄參,丹參,人參,茯苓,五味子,酸棗仁,柏子仁,遠志,桔梗,朱砂];{name}的組成是？;[安神補養,心腎陰虛];{"name":"天王補心丹"}
組成(藥→方);select_all;[甘草,浮小麥,大棗];{name}的組成是？;[安神補養,臟躁肝鬱心虛];{"name":"甘麥大棗湯"}
組成(藥→方);select_all;[牛黃,麝香,犀角,雄黃,朱砂,珍珠,冰片,鬱金,梔子,黃芩,黃連,金箔,蜂蜜];{name}的組成是？;[開竅涼開,痰熱閉證,清熱祛痰];{"name":"安宮牛黃丸"}
組成(藥→方);select_all;[牛黃,麝香,安息香,犀角,雄黃,冰片,琥珀,玳瑁,金箔,銀箔];{name}的組成是？;[開竅涼開,閉證痰熱,開竅];{"name":"至寶丹"}
組成(藥→方);select_all;[犀角,羚角,麝香,沉香,木香,丁香,朱砂,磁石,滑石,石膏,寒水石,芒硝,硝石,升麻,玄參,甘草,黃金];{name}的組成是？;[開竅涼開,閉證熱盛動風];{"name":"紫雪丹"}
組成(藥→方);select_all;[牛黃,麝香,天麻,鉤藤,朱砂,膽南星,陳皮,半夏,貝母,竹黃,檀香,沉香,木香,全蠍,僵蠶,枳殼,白豆蔻,大黃];{name}的組成是？;[開竅涼開,熱痰蒙心,定驚];{"name":"小兒回春丹"}
組成(藥→方);select_all;[蘇合香,安息香,麝香,丁香,沉香,木香,乳香,檀香,香附,冰片,朱砂,犀角,蓽蘗,訶子,白朮];{name}的組成是？;[開竅溫開,痰濕寒閉氣鬱];{"name":"蘇合香丸"}
組成(藥→方);select_all;[柴胡,川芎,枳殼,香附,白芍,陳皮,炙甘草];{name}的組成是？;[理氣行氣,肝鬱脅脹];{"name":"柴胡疏肝散"}
組成(藥→方);select_all;[川楝子,延胡索];{name}的組成是？;[理氣行氣,肝鬱脅痛];{"name":"金鈴子散"}
組成(藥→方);select_all;[香附,川芎,梔子,蒼朮,神麴];{name}的組成是？;[理氣行氣,肝脾氣鬱];{"name":"越鞠丸"}
組成(藥→方);select_all;[栝蔞實,薤白,白酒];{name}的組成是？;[理氣行氣,中陽虛,痰氣滯];{"name":"栝蔞薤白白酒湯"}
組成(藥→方);select_all;[烏藥,木香,茴香,川楝子,青皮,高良薑,檳榔,巴豆];{name}的組成是？;[理氣行氣,寒疝肝鬱];{"name":"天臺烏藥散"}
組成(藥→方);select_all;[烏藥,沉香,茴香,肉桂,生薑,當歸,枸杞,茯苓];{name}的組成是？;[理氣行氣,肝腎寒氣滯,少腹痛];{"name":"暖肝煎"}
組成(藥→方);select_all;[橘核,木香,枳殼,厚朴,川楝子,延胡索,桃仁,肉桂,木通,昆布,海藻,海帶];{name}的組成是？;[理氣行氣,寒濕疝氣];{"name":"橘核丸"}
組成(藥→方);select_all;[烏藥,沉香,人參,檳榔];{name}的組成是？;[理氣行氣,肝鬱喘滿];{"name":"四磨湯"}
組成(藥→方);select_all;[高良薑,香附];{name}的組成是？;[理氣行氣,肝鬱脅寒痛];{"name":"良附丸"}
組成(藥→方);select_all;[厚朴,木香,乾薑,草豆蔻,陳皮,茯苓,炙甘草,生薑];{name}的組成是？;[理氣行氣,中滿濕寒];{"name":"厚朴溫中湯"}
組成(藥→方);select_all;[半夏,厚朴,茯苓,生薑,紫蘇];{name}的組成是？;[理氣行氣,痰氣鬱中焦];{"name":"半夏厚朴湯"}
組成(藥→方);select_all;[蘇子,半夏,厚朴,陳皮,前胡,當歸,肉桂,炙甘草,生薑,大棗,紫蘇];{name}的組成是？;[理氣降氣,上盛下虛痰鬱];{"name":"蘇子降氣湯"}
組成(藥→方);select_all;[麻黃,杏仁,蘇子,款冬,半夏,白果,桑白皮,黃芩,甘草];{name}的組成是？;[理氣降氣,表風寒裡痰熱];{"name":"定喘湯"}
組成(藥→方);select_all;[丁香,柿蒂,人參,生薑];{name}的組成是？;[理氣降氣,胃虛寒氣逆];{"name":"丁香柿蒂湯"}
組成(藥→方);select_all;[橘皮,竹茹,人參,生薑,甘草,大棗];{name}的組成是？;[理氣降氣,胃虛熱氣逆];{"name":"橘皮竹茹湯"}
組成(藥→方);select_all;[旋覆花,代赭石,半夏,人參,生薑,炙甘草,大棗];{name}的組成是？;[理氣降氣,胃虛痰氣逆];{"name":"旋覆代赭石湯"}
組成(藥→方);select_all;[桃仁,紅花,當歸,川芎,赤芍,生地,柴胡,枳殼,甘草,桔梗,牛膝];{name}的組成是？;[理血活血,中氣滯血瘀];{"name":"血府逐瘀湯"}
組成(藥→方);select_all;[丹參,檀香,砂仁];{name}的組成是？;[理血活血,中氣滯血瘀痛];{"name":"丹參飲"}
組成(藥→方);select_all;[鱉甲,灶心土,清酒,大黃,芒硝,蟅蟲,桃仁,丹皮,蜣螂,鼠婦,蜂房,紫葳,半夏,厚朴,柴胡,黃芩,乾薑,桂枝,射干,葶藶子,瞿麥,石葦,人參,阿膠,白芍];{name}的組成是？;[理血活血,瘧母寒熱痰濕氣滯血瘀];{"name":"鱉甲煎丸"}
組成(藥→方);select_all;[酒大黃,柴胡,桃仁,紅花,當歸,穿山甲,栝蔞根,甘草];{name}的組成是？;[理血活血,胸脅血瘀];{"name":"復元活血湯"}
組成(藥→方);select_all;[當歸,川芎,白芍,丹皮,吳茱萸,桂枝,麥冬,阿膠,人參,半夏,生薑,甘草];{name}的組成是？;[理血活血,下虛寒血瘀];{"name":"溫經湯"}
組成(藥→方);select_all;[當歸,川芎,桃仁,乾薑,炙甘草];{name}的組成是？;[理血活血,血瘀寒];{"name":"生化湯"}
組成(藥→方);select_all;[桂枝,茯苓,白芍,丹皮,桃仁];{name}的組成是？;[理血活血,瘀阻胞宮];{"name":"桂枝茯苓丸"}
組成(藥→方);select_all;[桃仁,桂枝,大黃,芒硝,炙甘草];{name}的組成是？;[理血活血,下焦血瘀熱];{"name":"桃仁承氣湯"}
組成(藥→方);select_all;[黃耆,當歸,川芎,赤芍,桃仁,紅花,地龍];{name}的組成是？;[理血活血,氣血虛血瘀];{"name":"補陽還五湯"}
組成(藥→方);select_all;[大薊,小薊,荷葉,柏葉,白茅根,茜草,梔子,大黃,丹皮,棕櫚];{name}的組成是？;[理血止血,上出血火盛];{"name":"十灰散"}
組成(藥→方);select_all;[槐花,柏葉,荊芥,枳殼];{name}的組成是？;[理血止血,熱,便血];{"name":"槐花散"}
組成(藥→方);select_all;[小薊,蒲黃,藕節,梔子,滑石,竹葉,木通,生地,當歸,炙甘草];{name}的組成是？;[理血止血,下焦熱,尿血];{"name":"小薊飲子"}
組成(藥→方);select_all;[青黛,梔子,栝蔞仁,海浮石,訶子];{name}的組成是？;[理血止血,肺火血瘀咳血];{"name":"咳血方"}
組成(藥→方);select_all;[灶心土,附子,白朮,阿膠,生地,黃芩,甘草];{name}的組成是？;[理血止血,中虛寒便血];{"name":"黃土湯"}
組成(藥→方);select_all;[川芎,茶,荊芥,薄荷,羌活,防風,細辛,白芷,甘草];{name}的組成是？;[治風外風,表風寒頭痛];{"name":"川芎茶調散"}
組成(藥→方);select_all;[秦艽,羌活,獨活,防風,川芎,白芷,細辛,黃芩,石膏,生地,熟地,當歸,白芍,白朮,茯苓,甘草];{name}的組成是？;[治風外風,表風熱,中經絡];{"name":"大秦艽湯"}
